title,release_year,release_date,genres,runtime,overview,director,writers,main_actors,budget,revenue,keywords,production_company,popularity,adult
Inception,2010,2010-07-15,"['Action', 'Science Fiction', 'Adventure']",148,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe",160000000,839030630,"rescue, mission, dreams, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious, awestruck, complicated, powerful",Legendary Pictures,27.8694,False
Shutter Island,2010,2010-02-14,"['Drama', 'Thriller', 'Mystery']",138,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",Martin Scorsese,Laeta Kalogridis,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley",80000000,294804195,"island, based on novel or book, hurricane, investigation, u.s. marshal, conspiracy theory, psychiatric hospital, psychological thriller, whodunit, neo-noir, 1950s, complex, dreary, tense, baffled",Paramount Pictures,18.3389,False
How to Train Your Dragon,2010,2010-03-18,"['Fantasy', 'Adventure', 'Animation', 'Family']",98,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.","Chris Sanders, Dean DeBlois","Dean DeBlois, Chris Sanders, William Davies","Jay Baruchel, Gerard Butler, Craig Ferguson",165000000,494879471,"friendship, ship, blacksmith, island, based on novel or book, flying, arena, village, villain, training, ignorance, vikings (norsemen), forest, flight, nest, dragon, battle, combat, well, warrior, pets, inspirational, exhilarated",DreamWorks Animation,17.2598,False
Harry Potter and the Deathly Hallows: Part 1,2010,2010-11-17,"['Adventure', 'Fantasy']",146,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",David Yates,Steve Kloves,"Daniel Radcliffe, Emma Watson, Rupert Grint",250000000,954305868,"witch, friendship, london, england, corruption, escape, teleportation, isolation, magic, bravery, radio, road trip, shelter, tension, attack, werewolf, ghost, road movie, wizard, mysterious, christmas, based on young adult novel",Warner Bros. Pictures,20.5352,False
Tangled,2010,2010-11-24,"['Animation', 'Family', 'Adventure']",100,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.","Byron Howard, Nathan Greno",Dan Fogelman,"Mandy Moore, Zachary Levi, Donna Murphy",260000000,592461732,"princess, magic, hostage, fairy tale, horse, villain, musical, blonde, tower, selfishness, healing power, female villain, adventurer, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick, magic land",Walt Disney Animation Studios,21.484,False
Iron Man 2,2010,2010-04-28,"['Adventure', 'Action', 'Science Fiction']",124,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",Jon Favreau,Justin Theroux,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle",200000000,623933331,"technology, superhero, malibu, based on comic, revenge, aftercreditsstinger, marvel cinematic universe (mcu), break out",Marvel Studios,17.4012,False
The Karate Kid,2010,2010-06-10,"['Action', 'Adventure', 'Drama', 'Family']",140,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",Harald Zwart,Christopher Murphey,"Jaden Smith, Jackie Chan, Taraji P. Henson",40000000,359126022,"martial arts, duringcreditsstinger, karate kid, the karate kid, intense, pretentious, straightforward, tragic",Jerry Weintraub Productions,21.2583,False
TRON: Legacy,2010,2010-12-14,"['Adventure', 'Action', 'Science Fiction']",125,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",Joseph Kosinski,"Adam Horowitz, Edward Kitsis, Brian Klugman, Lee Sternthal","Jeff Bridges, Garrett Hedlund, Olivia Wilde",170000000,400062763,"artificial intelligence (a.i.), computer program, secret identity, dystopia, simulation, super computer, utopia, deception, computer simulation, sequel, computer game, 80s style, autocracy, light cycle",Walt Disney Pictures,24.2675,False
Shrek Forever After,2010,2010-05-20,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",93,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",Mike Mitchell,"Josh Klausner, Darren Lemke","Mike Myers, Eddie Murphy, Cameron Diaz",165000000,752600867,"witch, sequel, ogre",DreamWorks Animation,15.3037,False
Grown Ups,2010,2010-06-24,['Comedy'],102,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Dennis Dugan,"Adam Sandler, Fred Wolf","Adam Sandler, Kevin James, Chris Rock",80000000,271430189,"friendship, overweight, convertible, swing, foot, friends, arrow, buddy comedy, buddies, hilarious",Columbia Pictures,15.7576,False
